epoch,train_loss,train_acc,val_loss,val_acc
1,0.062809,79.53,0.056679,87.83
2,0.022498,91.81,0.057718,83.60
3,0.014294,94.50,0.055225,89.95
4,0.014217,94.29,0.090430,76.19
5,0.023697,90.95,0.058127,89.42
6,0.029802,89.66,0.106109,76.19
7,0.026194,89.33,0.069512,83.07
8,0.031188,89.12,0.112652,76.19
9,0.022307,91.27,0.088924,86.77
10,0.043612,85.67,0.272984,61.90
11,0.039023,86.10,0.156501,59.79
12,0.034397,85.13,0.121577,68.78
13,0.041229,82.97,0.064394,92.59
14,0.040692,86.21,0.106601,85.71
15,0.040619,85.88,0.139174,88.89
16,0.044571,85.67,0.244791,58.73
17,0.055950,80.60,0.105842,87.30
18,0.089899,78.88,1.569545,52.38
19,0.043814,81.25,0.112842,88.89
20,0.044312,84.91,0.132468,80.95
21,0.040317,84.81,0.242665,47.62
22,0.024824,89.33,0.048637,88.89
23,0.037842,89.12,0.117608,91.53
24,0.075242,81.68,0.268188,32.28
25,0.052266,79.53,0.084814,84.13
26,0.028785,88.90,0.395547,75.66
27,0.041936,85.34,0.064826,91.01
28,0.035280,88.04,0.717910,66.14
29,0.036707,86.21,0.070602,88.89
30,0.019985,91.27,0.069647,90.48
31,0.025075,90.62,0.053404,91.53
32,0.022423,90.30,0.056461,92.06
33,0.017699,92.35,0.050461,90.48
34,0.014977,93.32,0.049142,93.12
35,0.007087,96.23,0.057002,92.06
36,0.009531,96.44,0.057536,92.59
37,0.006494,97.09,0.053127,90.48
38,0.006063,97.41,0.082496,86.77
39,0.007331,96.01,0.062151,89.42
