epoch,train_loss,train_acc,val_loss,val_acc
1,0.099904,69.18,0.115317,60.32
2,0.028664,89.87,0.062441,82.01
3,0.017888,92.89,0.049305,82.54
4,0.008858,96.23,0.045245,90.48
5,0.007453,97.09,0.051757,93.12
6,0.014939,94.50,0.038483,91.53
7,0.012484,95.58,0.061263,91.01
8,0.020914,92.67,0.106051,82.54
9,0.024315,92.56,0.065450,90.48
10,0.038650,89.12,0.088557,76.19
11,0.023047,92.13,0.314983,83.60
12,0.025322,91.06,0.104305,78.31
13,0.041122,86.85,0.219304,54.50
14,0.024618,90.41,0.046004,90.48
15,0.027793,90.09,0.145691,70.90
16,0.031886,86.85,0.103370,86.77
17,0.038841,87.28,0.091704,85.71
18,0.022115,90.84,0.054684,89.95
19,0.019806,92.89,0.042886,89.95
20,0.017500,93.86,0.062992,92.59
21,0.016353,94.50,0.054013,92.06
22,0.023756,92.35,0.072874,76.72
23,0.014910,95.47,0.073408,89.95
24,0.019487,92.56,0.059764,93.12
25,0.022403,91.92,0.052877,91.01
26,0.008972,96.98,0.077762,90.48
27,0.007376,96.66,0.081631,89.42
28,0.006191,97.52,0.092923,92.06
29,0.012930,94.83,0.073463,86.77
30,0.010486,96.44,0.053792,92.06
31,0.006053,97.63,0.069602,93.12
32,0.002754,98.71,0.068334,92.06
33,0.003679,97.84,0.064422,92.59
34,0.001479,99.14,0.071280,92.59
