Dataset,Model,Epochs,Best Epoch,mAP@50,mAP@50-95,Precision,Recall
iml_lifecycle,YOLO10,100,55,0.9606,0.7843,0.913,0.9331
iml_lifecycle,YOLO11,100,84,0.9638,0.7915,0.9191,0.9333
iml_lifecycle,YOLO12,100,43,0.9647,0.6734,0.8902,0.8889
md_2019_stages,YOLO10,100,68,0.7469,0.5908,0.6838,0.7039
md_2019_stages,YOLO11,100,27,0.7491,0.5482,0.61,0.7726
md_2019_stages,YOLO12,100,35,0.7459,0.5356,0.625,0.7778
mp_idb_species,YOLO10,100,93,0.9277,0.5934,0.8612,0.8985
mp_idb_species,YOLO11,100,84,0.9324,0.6108,0.8904,0.8945
mp_idb_species,YOLO12,100,89,0.9366,0.6229,0.885,0.9073
mp_idb_stages,YOLO10,100,53,0.96,0.5493,0.95,0.9049
mp_idb_stages,YOLO11,100,24,0.9559,0.5143,0.9324,0.8889
mp_idb_stages,YOLO12,100,100,0.9627,0.6153,0.9291,0.9259
