epoch,train_loss,train_acc,val_loss,val_acc
1,0.291321,44.92,0.276579,45.28
2,0.117578,79.30,0.265697,43.40
3,0.066977,85.94,0.241809,50.00
4,0.045158,89.45,0.263879,56.60
5,0.060748,88.67,0.275862,59.43
6,0.048017,91.02,0.465906,46.23
7,0.065487,89.45,0.519378,51.89
8,0.053661,86.33,0.624109,35.85
9,0.058641,85.94,2.911753,25.47
10,0.094127,84.77,11.324712,12.26
11,0.068669,83.59,1.448552,33.96
12,0.070856,84.77,4.369805,26.42
13,0.099404,81.25,8.625136,33.96
14,0.085555,83.59,3.965063,21.70
15,0.097363,80.08,5.401340,30.19
16,0.077284,79.30,0.929870,62.26
17,0.079769,83.59,7.382951,31.13
18,0.074728,78.91,3.768844,14.15
19,0.086506,80.08,16.279820,13.21
20,0.141791,69.14,34.935706,3.77
21,0.120675,80.86,3.810214,50.94
22,0.119167,76.17,7.243282,18.87
23,0.104753,76.95,34.215633,9.43
24,0.119657,79.30,3.826394,31.13
25,0.075053,82.81,0.223481,73.58
26,0.100945,80.47,0.487083,45.28
27,0.095545,80.08,1.330650,36.79
28,0.092429,82.42,1.240338,37.74
29,0.060844,84.77,0.457102,48.11
30,0.049820,88.28,0.706141,29.25
31,0.033680,91.02,0.273809,62.26
32,0.056581,87.50,0.941516,32.08
33,0.073361,81.64,1.554076,40.57
34,0.085965,81.25,1.363294,22.64
35,0.082697,81.25,1.148747,31.13
36,0.071680,85.55,1.725298,39.62
37,0.081711,86.33,0.922937,49.06
38,0.050096,88.28,0.202691,74.53
39,0.048305,89.06,0.411278,64.15
40,0.049839,85.94,0.374488,62.26
41,0.049455,89.06,0.131558,84.91
42,0.035277,88.28,0.114120,76.42
43,0.031930,91.41,0.098536,82.08
44,0.021506,92.58,0.075608,91.51
45,0.030210,91.80,0.070271,86.79
46,0.034887,90.62,0.073431,83.96
47,0.035202,91.41,0.082467,89.62
48,0.049503,89.84,0.120160,85.85
49,0.026250,92.58,0.152282,79.25
50,0.030818,91.80,0.070094,87.74
51,0.021231,91.80,0.067329,91.51
52,0.026845,91.80,0.087417,87.74
53,0.036804,89.45,0.063315,88.68
54,0.014949,96.09,0.037215,92.45
55,0.016232,94.92,0.039702,94.34
56,0.020443,95.31,0.038897,93.40
57,0.015343,96.09,0.041579,90.57
58,0.008651,96.48,0.045477,91.51
59,0.010201,97.27,0.048964,89.62
60,0.009671,97.66,0.055348,89.62
61,0.007875,98.44,0.060163,91.51
62,0.012248,95.70,0.062217,91.51
63,0.007787,98.44,0.060004,91.51
64,0.007298,98.05,0.059252,89.62
65,0.009586,96.88,0.056522,88.68
66,0.006897,98.44,0.055530,88.68
67,0.007019,98.05,0.055064,88.68
