epoch,train_loss,train_acc,val_loss,val_acc
1,0.315006,39.45,0.289850,36.79
2,0.207786,66.80,0.217580,62.26
3,0.102055,83.20,0.162463,56.60
4,0.073547,85.16,0.104448,77.36
5,0.051348,91.02,0.114473,76.42
6,0.052741,89.84,0.172918,77.36
7,0.049727,87.50,0.282024,65.09
8,0.047098,91.41,0.345051,62.26
9,0.050947,88.28,0.264649,64.15
10,0.077204,88.28,0.195129,73.58
11,0.077541,81.25,0.270007,48.11
12,0.098416,81.64,0.268526,65.09
13,0.082036,80.86,1.555925,23.58
14,0.128836,77.73,0.806331,29.25
15,0.146156,71.88,3.739275,20.75
16,0.206200,69.53,19.109288,18.87
17,0.109990,81.25,0.890439,8.49
18,0.093257,77.34,0.523728,45.28
19,0.138003,76.95,10.254810,30.19
20,0.123392,75.00,1.051313,55.66
21,0.083685,81.25,nan,31.13
22,0.100938,76.17,0.758480,43.40
23,0.094944,80.86,2.311554,43.40
24,0.064913,84.38,0.287882,72.64
25,0.114135,77.73,0.242244,83.96
26,0.092382,80.08,0.105449,83.96
27,0.060717,84.38,0.067477,83.02
28,0.065829,87.89,0.162531,67.92
29,0.048517,88.28,0.210730,62.26
30,0.038027,89.84,0.383485,62.26
31,0.057467,82.81,0.343824,64.15
32,0.046239,87.11,0.199416,74.53
33,0.049931,87.89,0.110493,81.13
34,0.034771,91.80,0.108575,77.36
35,0.042566,90.62,0.082785,86.79
36,0.065994,88.67,0.095395,88.68
37,0.042658,89.06,0.166070,66.98
38,0.029215,92.97,0.168066,72.64
39,0.034529,90.23,0.104358,81.13
40,0.035439,91.02,0.063711,93.40
41,0.034935,88.28,0.125466,90.57
42,0.027080,90.62,0.173230,69.81
43,0.034346,90.62,0.129411,74.53
44,0.034814,91.41,0.160236,77.36
45,0.027189,90.62,0.080573,85.85
46,0.031463,91.80,0.081892,86.79
47,0.020135,93.36,0.094700,87.74
48,0.022886,94.14,0.113914,82.08
49,0.014722,94.14,0.088623,86.79
50,0.009300,96.88,0.078870,89.62
51,0.015968,94.53,0.078629,90.57
52,0.030057,93.75,0.077568,91.51
53,0.017356,93.75,0.067925,93.40
54,0.011761,96.09,0.070328,91.51
55,0.019514,93.36,0.074692,91.51
56,0.012869,95.70,0.071507,91.51
