Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.8962,0.9151,0.9151,0.9151,0.8585,0.8774
Overall,balanced_accuracy,0.8875,0.9035,0.9196,0.9057,0.8029,0.8786
gametocyte,precision,0.9783,0.9592,0.9783,0.9583,0.9375,0.9574
gametocyte,recall,0.9184,0.9592,0.9184,0.9388,0.9184,0.9184
gametocyte,f1_score,0.9474,0.9592,0.9474,0.9485,0.9278,0.9375
gametocyte,support,49.0,49.0,49.0,49.0,49.0,49.0
ring,precision,0.8293,0.9167,0.8919,0.8947,0.8611,0.9394
ring,recall,1.0,0.9706,0.9706,1.0,0.9118,0.9118
ring,f1_score,0.9067,0.9429,0.9296,0.9444,0.8857,0.9254
ring,support,34.0,34.0,34.0,34.0,34.0,34.0
schizont,precision,1.0,0.8,0.8,1.0,0.75,0.6667
schizont,recall,1.0,1.0,1.0,1.0,0.75,1.0
schizont,f1_score,1.0,0.8889,0.8889,1.0,0.75,0.8
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0
trophozoite,precision,0.8,0.8125,0.8333,0.8125,0.6667,0.65
trophozoite,recall,0.6316,0.6842,0.7895,0.6842,0.6316,0.6842
trophozoite,f1_score,0.7059,0.7429,0.8108,0.7429,0.6486,0.6667
trophozoite,support,19.0,19.0,19.0,19.0,19.0,19.0
