epoch,train_loss,train_acc,val_loss,val_acc
1,0.052096,76.49,0.060368,77.68
2,0.041298,80.06,0.056562,77.23
3,0.042238,79.46,0.044496,80.80
4,0.036234,81.55,0.054562,78.72
5,0.040946,81.47,0.059852,80.06
6,0.043597,78.87,0.047001,80.95
7,0.040245,80.95,0.045400,84.38
8,0.042369,79.69,0.036187,85.86
9,0.042720,80.28,0.036622,81.25
10,0.040057,80.13,0.052142,80.06
11,0.040363,80.58,0.039509,83.93
12,0.049539,77.53,0.067935,70.54
13,0.063257,77.53,0.249948,62.80
14,0.046857,77.60,0.049650,78.12
15,0.048944,77.38,0.058867,73.96
16,0.046584,78.05,0.055907,71.73
17,0.053386,78.79,0.349790,41.67
18,0.069068,71.88,0.067639,72.77
19,0.095092,67.93,1.085541,45.68
20,0.076992,68.30,0.181686,76.64
21,0.057632,75.22,0.059801,72.92
22,0.056861,77.38,0.063284,77.68
23,0.047386,78.05,0.041582,81.99
24,0.043632,79.17,0.038230,84.38
25,0.046626,80.21,2.004716,69.79
26,0.044546,78.65,0.087058,76.34
27,0.040247,78.42,0.036683,83.04
28,0.047418,77.75,0.045294,81.10
29,0.038711,81.92,0.037077,82.74
30,0.041729,78.72,0.040247,82.59
31,0.036017,83.41,0.041638,78.12
32,0.038777,81.03,0.042360,80.51
33,0.036269,81.25,0.039415,82.44
34,0.033605,83.41,0.040001,82.74
35,0.033452,84.23,0.036357,83.93
36,0.030496,84.67,0.037909,83.48
37,0.033629,83.41,0.039489,83.78
38,0.035004,83.18,0.047050,79.17
39,0.029064,85.34,0.041715,82.74
40,0.032029,84.60,0.036226,83.78
41,0.036500,81.18,0.034423,84.67
42,0.030608,82.66,0.050962,74.70
43,0.033009,84.52,0.037127,81.55
44,0.032722,83.71,0.030207,84.67
45,0.030680,84.67,0.037244,83.04
46,0.029708,84.15,0.042898,80.65
47,0.037105,81.62,0.045730,80.21
48,0.028455,86.01,0.035559,84.67
49,0.028786,84.67,0.034826,85.42
50,0.026336,85.57,0.043271,80.51
51,0.027349,85.94,0.036864,84.82
52,0.026234,86.90,0.037143,84.23
53,0.030432,85.34,0.036312,83.18
54,0.028137,86.38,0.037911,83.18
55,0.030897,83.48,0.034367,84.67
56,0.029312,83.71,0.035343,84.67
57,0.028008,85.64,0.031767,84.97
58,0.029861,85.94,0.033695,83.93
59,0.027254,86.68,0.048215,81.99
60,0.029177,84.90,0.190896,75.89
61,0.028496,85.57,0.037589,83.93
62,0.025974,85.12,0.035440,84.08
63,0.027790,86.53,0.036488,83.78
64,0.026844,86.31,0.037461,84.23
65,0.023964,87.95,0.037216,84.23
66,0.021540,88.17,0.036146,84.97
67,0.024880,86.76,0.036286,83.78
68,0.019935,89.43,0.034749,83.48
69,0.020439,88.17,0.036536,83.93
70,0.021380,89.73,0.034350,84.38
71,0.019963,89.21,0.036294,84.08
72,0.022023,88.99,0.036032,83.93
73,0.023015,87.28,0.038313,82.59
74,0.024204,88.02,0.035116,84.82
75,0.022428,88.54,0.035657,84.52
