epoch,train_loss,train_acc,val_loss,val_acc
1,0.174278,69.71,0.090268,75.60
2,0.057484,88.46,0.052286,94.85
3,0.019877,95.31,0.085714,95.19
4,0.019217,94.47,0.114421,91.41
5,0.015785,96.03,0.088852,93.81
6,0.017042,96.15,0.097349,91.41
7,0.019727,95.79,0.056091,93.81
8,0.020762,95.43,0.317898,78.35
9,0.039610,91.35,0.087614,87.97
10,0.056217,89.06,0.495784,22.34
11,0.082853,83.65,1.860152,85.22
12,0.067782,84.01,0.236168,53.95
13,0.074646,82.81,0.109140,87.97
14,0.070430,83.05,41.139409,6.19
15,0.098067,78.85,0.637801,81.79
16,0.104649,77.52,0.962864,71.13
17,0.094423,77.40,3.057674,40.21
18,0.064196,84.50,0.179245,88.32
19,0.069087,79.57,0.381986,68.04
20,0.060627,88.46,0.535968,62.89
21,0.080979,82.45,0.165459,74.23
22,0.055468,85.82,0.177269,60.14
23,0.073881,82.93,0.058169,93.47
24,0.042667,87.74,0.067723,95.19
25,0.048488,85.94,0.059136,95.19
26,0.031624,91.71,0.106105,91.75
27,0.038239,88.46,0.072804,89.69
28,0.037778,89.30,0.112353,93.47
29,0.042891,88.94,0.130450,78.69
30,0.022225,91.83,0.105982,90.03
31,0.023300,91.83,0.074060,93.47
32,0.014636,95.31,0.085500,96.56
33,0.012698,96.27,0.067687,96.91
34,0.011187,95.55,0.089779,95.53
35,0.013097,96.39,0.093448,94.85
36,0.010939,96.15,0.086152,96.22
37,0.011242,95.67,0.098181,94.50
38,0.014081,95.43,0.149738,93.47
39,0.012807,95.79,0.084056,95.53
