Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50,Dataset
Overall,accuracy,0.934,0.8962,0.8962,0.9151,0.8774,0.8868,iml_lifecycle
Overall,balanced_accuracy,0.9379,0.883,0.8278,0.9196,0.8176,0.894,iml_lifecycle
gametocyte,precision,0.9787,0.9592,0.94,0.9574,0.9574,0.9362,iml_lifecycle
gametocyte,recall,0.9388,0.9592,0.9592,0.9184,0.9184,0.898,iml_lifecycle
gametocyte,f1_score,0.9583,0.9592,0.9495,0.9375,0.9375,0.9167,iml_lifecycle
gametocyte,support,49.0,49.0,49.0,49.0,49.0,49.0,iml_lifecycle
ring,precision,0.9429,0.9412,0.9167,0.9429,0.8684,0.9412,iml_lifecycle
ring,recall,0.9706,0.9412,0.9706,0.9706,0.9706,0.9412,iml_lifecycle
ring,f1_score,0.9565,0.9412,0.9429,0.9565,0.9167,0.9412,iml_lifecycle
ring,support,34.0,34.0,34.0,34.0,34.0,34.0,iml_lifecycle
schizont,precision,1.0,0.5714,0.5,1.0,1.0,0.8,iml_lifecycle
schizont,recall,1.0,1.0,0.75,1.0,0.75,1.0,iml_lifecycle
schizont,f1_score,1.0,0.7273,0.6,1.0,0.8571,0.8889,iml_lifecycle
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0,iml_lifecycle
trophozoite,precision,0.8,0.75,0.8571,0.75,0.6667,0.7,iml_lifecycle
trophozoite,recall,0.8421,0.6316,0.6316,0.7895,0.6316,0.7368,iml_lifecycle
trophozoite,f1_score,0.8205,0.6857,0.7273,0.7692,0.6486,0.7179,iml_lifecycle
trophozoite,support,19.0,19.0,19.0,19.0,19.0,19.0,iml_lifecycle
Overall,accuracy,0.8353,0.8662,0.8559,0.8405,0.8525,0.8491,md_2019_stages
Overall,balanced_accuracy,0.8254,0.8551,0.8391,0.8145,0.8348,0.8222,md_2019_stages
ring,precision,0.8548,0.8641,0.8757,0.8352,0.8587,0.8316,md_2019_stages
ring,recall,0.9353,0.9353,0.9118,0.8941,0.9294,0.9294,md_2019_stages
ring,f1_score,0.8933,0.8983,0.8934,0.8636,0.8927,0.8778,md_2019_stages
ring,support,170.0,170.0,170.0,170.0,170.0,170.0,md_2019_stages
schizont,precision,0.9225,0.9434,0.9265,0.9104,0.9259,0.9206,md_2019_stages
schizont,recall,0.8322,0.8741,0.8811,0.8881,0.8741,0.8916,md_2019_stages
schizont,f1_score,0.875,0.9074,0.9032,0.8991,0.8993,0.9059,md_2019_stages
schizont,support,286.0,286.0,286.0,286.0,286.0,286.0,md_2019_stages
