Dataset,Original_Train,Original_Val,Original_Test,Detection_Aug_Train,Classification_Aug_Train,Detection_Multiplier,Classification_Multiplier
iml_lifecycle,372,128,126,1632,1305,4.4x,3.5x
md_2019_stages,936,312,378,4106,3285,4.4x,3.5x
mp_idb_species,250,84,84,1096,877,4.4x,3.5x
mp_idb_stages,250,84,84,1096,877,4.4x,3.5x
iml_lifecycle,372,128,126,1632,1305,4.4x,3.5x
md_2019_stages,936,312,378,4106,3285,4.4x,3.5x
mp_idb_species,250,84,84,1096,877,4.4x,3.5x
mp_idb_stages,250,84,84,1096,877,4.4x,3.5x
iml_lifecycle,372,128,126,1632,1305,4.4x,3.5x
md_2019_stages,936,312,378,4106,3285,4.4x,3.5x
mp_idb_species,250,84,84,1096,877,4.4x,3.5x
mp_idb_stages,250,84,84,1096,877,4.4x,3.5x
iml_lifecycle,372,128,126,1632,1305,4.4x,3.5x
md_2019_stages,936,312,378,4106,3285,4.4x,3.5x
mp_idb_species,250,84,84,1096,877,4.4x,3.5x
mp_idb_stages,250,84,84,1096,877,4.4x,3.5x
