epoch,train_loss,train_acc,val_loss,val_acc
1,0.056198,76.10,0.040517,81.34
2,0.033766,83.51,0.039629,82.36
3,0.029979,85.30,0.049791,77.05
4,0.026912,87.62,0.045165,78.42
5,0.026773,87.04,0.037972,82.71
6,0.027916,86.23,0.044615,82.19
7,0.031423,84.09,0.049901,81.16
8,0.034434,83.97,0.047075,75.86
9,0.037851,83.28,0.076277,73.29
10,0.040601,81.19,0.050128,79.62
11,0.040989,83.16,0.350830,67.98
12,0.043676,82.87,0.044049,82.36
13,0.040341,82.18,0.182332,59.76
14,0.039386,81.71,0.067328,81.16
15,0.044641,80.67,0.069641,68.32
16,0.039418,83.33,0.100181,62.84
17,0.034697,84.32,0.045631,83.90
18,0.040838,81.60,0.054775,79.62
19,0.038921,82.00,0.183982,43.32
20,0.035742,83.91,0.043936,81.51
21,0.033976,83.45,0.040715,77.91
22,0.032301,85.76,0.038419,83.73
23,0.034411,83.45,0.045359,70.72
24,0.030978,86.98,0.054537,78.60
25,0.026391,85.94,0.049090,79.28
26,0.034708,83.39,0.034480,82.88
27,0.029025,85.36,0.107052,57.53
28,0.029256,85.36,0.038739,82.19
29,0.031243,84.72,0.037727,81.34
30,0.029331,84.61,0.062835,79.97
31,0.030029,85.53,0.055442,81.51
32,0.028624,85.71,0.037474,83.22
33,0.027263,86.23,0.044604,82.02
34,0.027464,86.23,0.052387,77.05
35,0.027610,85.59,0.037751,82.88
36,0.026003,86.52,0.047332,84.25
37,0.026432,87.56,0.036418,85.10
38,0.026937,86.57,0.034896,84.76
39,0.026969,86.34,0.046805,79.97
40,0.025436,86.75,0.034712,85.10
41,0.025996,86.17,0.043103,84.59
42,0.024723,86.57,0.040009,80.99
43,0.023386,87.56,0.039759,84.59
44,0.022568,88.31,0.037543,85.10
45,0.024470,88.48,0.040249,85.45
46,0.023046,87.67,0.043594,82.02
47,0.025016,88.08,0.037755,85.96
48,0.024026,88.83,0.046679,82.88
49,0.020286,89.87,0.036870,86.64
50,0.021066,89.58,0.040186,84.08
51,0.022382,89.00,0.036048,86.30
52,0.020344,88.72,0.041582,84.59
53,0.020053,90.34,0.040984,84.25
54,0.017713,90.86,0.039626,82.71
55,0.019739,90.10,0.049597,83.05
56,0.017439,91.03,0.039758,84.76
57,0.018751,90.22,0.045128,84.25
58,0.018803,90.05,0.040249,83.39
59,0.015648,91.49,0.039151,85.10
60,0.017023,91.84,0.041141,84.76
61,0.017150,91.15,0.041666,84.76
62,0.013892,91.78,0.042527,82.71
63,0.014829,92.13,0.040365,84.93
64,0.012784,92.88,0.045253,85.27
65,0.012603,93.69,0.045146,84.59
66,0.017486,92.07,0.043123,84.59
67,0.013839,93.11,0.042867,84.25
68,0.013667,93.34,0.042693,84.25
69,0.013109,93.29,0.040829,84.42
70,0.010957,94.27,0.040520,84.76
71,0.011881,93.46,0.042563,85.45
72,0.013565,93.34,0.044297,84.08
73,0.010935,94.39,0.043710,84.76
74,0.012368,93.29,0.042904,84.25
75,0.010901,93.98,0.044743,84.25
