epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94394,3.73724,8.38212,2.85594,0.63058,0.31579,0.45422,0.24506,3.31767,4.36631,2.34037,0.08607,7e-05,7e-05
2,14.777,2.47836,1.72109,2.13752,0.72363,0.67446,0.73598,0.49888,2.53386,2.93602,2.06032,0.0711436,0.000143565,0.000143565
3,20.5372,2.28503,1.36898,2.04719,0.00137,0.00195,0.00033,0.0001,8.69972,45.7546,5.9483,0.0562156,0.000215644,0.000215644
4,26.0184,2.3019,1.41167,2.07291,0.62555,0.30409,0.328,0.19589,3.78065,5.7938,2.78632,0.0412862,0.000286239,0.000286239
5,31.5557,2.25478,1.26418,2.07654,0.55701,0.17934,0.23634,0.15715,4.04577,6.89426,4.48499,0.0263553,0.000355348,0.000355348
6,37.0145,2.11852,1.18033,2.02852,0,0,0,0,7.59473,12.9002,6.6663,0.011423,0.000422973,0.000422973
7,42.3671,2.04735,1.19656,1.97864,0,0,0,0,7.66824,13.7123,5.90478,0.0004703,0.0004703,0.0004703
8,47.9078,2.1238,1.23769,2.01515,0.46795,0.1423,0.28681,0.13405,4.66995,9.68384,3.23651,0.00046535,0.00046535,0.00046535
9,53.4186,2.05724,1.14716,1.97557,0,0,0,0,7.68515,11.6192,5.38078,0.0004604,0.0004604,0.0004604
10,58.87,2.06698,1.11011,1.93593,0.76063,0.72125,0.78995,0.53673,2.42567,1.90609,2.00746,0.00045545,0.00045545,0.00045545
11,64.5893,1.98261,1.03159,1.94166,0.11207,0.05068,0.05942,0.02377,5.83878,8.65571,3.89067,0.0004505,0.0004505,0.0004505
12,70.2152,1.9702,1.09827,1.93763,0.69352,0.54697,0.6395,0.33246,3.58153,3.58937,2.46946,0.00044555,0.00044555,0.00044555
13,75.6114,2.07183,1.16342,1.99092,0.8478,0.79337,0.88811,0.66392,1.9422,1.39342,1.85297,0.0004406,0.0004406,0.0004406
14,81.1168,1.90953,1.11697,1.9115,0.83214,0.79337,0.87332,0.63516,2.05734,1.39159,1.90048,0.00043565,0.00043565,0.00043565
15,86.572,1.9051,1.04802,1.92093,0.75372,0.7338,0.81924,0.54502,2.42173,1.86034,1.97548,0.0004307,0.0004307,0.0004307
16,92.04,1.87353,1.02055,1.91666,0.82647,0.81702,0.89286,0.68581,1.76926,1.23819,1.85626,0.00042575,0.00042575,0.00042575
17,97.6035,1.82169,0.99037,1.88677,0.82245,0.82846,0.88604,0.66394,1.85835,1.42808,1.89475,0.0004208,0.0004208,0.0004208
18,103.25,1.82239,1.04615,1.91396,0.81451,0.84211,0.9029,0.7085,1.69074,1.15364,1.78542,0.00041585,0.00041585,0.00041585
19,108.753,1.82676,1.0192,1.92394,0.83017,0.81287,0.89607,0.70191,1.70053,1.24755,1.79417,0.0004109,0.0004109,0.0004109
20,114.178,1.87758,1.02341,1.89746,0.83686,0.83626,0.90463,0.72353,1.57277,1.15151,1.77865,0.00040595,0.00040595,0.00040595
21,119.681,1.82745,0.99468,1.87051,0.84877,0.82651,0.91002,0.71154,1.6554,1.2632,1.76462,0.000401,0.000401,0.000401
22,125.128,1.82427,0.99255,1.9061,0.83775,0.78508,0.89135,0.70326,1.68801,1.26457,1.77577,0.00039605,0.00039605,0.00039605
23,130.648,1.94702,1.01511,1.9384,0.85001,0.80645,0.89503,0.6966,1.74091,1.29926,1.81121,0.0003911,0.0003911,0.0003911
24,136.075,1.88075,0.95977,1.90432,0.81972,0.87135,0.91157,0.72994,1.61398,1.10506,1.76876,0.00038615,0.00038615,0.00038615
25,141.529,1.84821,0.95473,1.89876,0.84815,0.84795,0.92363,0.72814,1.5952,1.09598,1.7794,0.0003812,0.0003812,0.0003812
26,146.921,1.73964,0.94522,1.86513,0.81779,0.89474,0.92737,0.70545,1.78454,1.20954,1.81346,0.00037625,0.00037625,0.00037625
27,152.312,1.72273,0.86994,1.86124,0.82706,0.867,0.91438,0.7238,1.65079,1.13995,1.77257,0.0003713,0.0003713,0.0003713
28,157.711,1.74496,0.91072,1.88566,0.87193,0.78752,0.8905,0.71222,1.68592,1.20459,1.83268,0.00036635,0.00036635,0.00036635
29,163.152,1.73781,0.89995,1.87666,0.83019,0.8694,0.9121,0.72097,1.6098,1.13965,1.78042,0.0003614,0.0003614,0.0003614
30,168.719,1.87397,0.95735,1.89628,0.81724,0.82806,0.8886,0.68285,1.72318,1.39925,1.7918,0.00035645,0.00035645,0.00035645
31,174.146,1.79861,0.91785,1.8785,0.83657,0.82822,0.89539,0.70562,1.68745,1.16423,1.8116,0.0003515,0.0003515,0.0003515
32,179.588,1.75682,0.87516,1.84521,0.88065,0.81092,0.90685,0.71625,1.62384,1.0803,1.75907,0.00034655,0.00034655,0.00034655
33,185.125,1.79583,0.88454,1.8821,0.86494,0.79727,0.89599,0.69388,1.61674,1.26238,1.75103,0.0003416,0.0003416,0.0003416
34,190.59,1.78019,0.8853,1.86348,0.82689,0.8499,0.91037,0.72212,1.64331,1.06266,1.76794,0.00033665,0.00033665,0.00033665
35,196.04,1.72632,0.86879,1.87853,0.85355,0.8499,0.91694,0.72481,1.67235,1.06181,1.7827,0.0003317,0.0003317,0.0003317
36,201.466,1.65811,0.88184,1.83607,0.85275,0.83041,0.91523,0.73484,1.52491,1.05302,1.75347,0.00032675,0.00032675,0.00032675
37,206.927,1.64514,0.88102,1.83384,0.86333,0.82261,0.91671,0.73644,1.57486,1.0758,1.75791,0.0003218,0.0003218,0.0003218
38,212.561,1.68374,0.86701,1.83913,0.85321,0.83626,0.92091,0.72992,1.67172,1.17433,1.79642,0.00031685,0.00031685,0.00031685
39,218.064,1.61828,0.86559,1.81196,0.81471,0.88283,0.91727,0.7209,1.68401,1.16628,1.787,0.0003119,0.0003119,0.0003119
40,223.61,1.63127,0.87236,1.83358,0.88469,0.80702,0.92117,0.70874,1.83303,1.07356,1.81497,0.00030695,0.00030695,0.00030695
41,229.064,1.68998,0.88341,1.83533,0.81965,0.88694,0.92179,0.74936,1.5333,1.06294,1.74222,0.000302,0.000302,0.000302
42,234.627,1.68311,0.85699,1.84464,0.83212,0.87927,0.91693,0.74651,1.54799,1.04418,1.73863,0.00029705,0.00029705,0.00029705
43,240.049,1.64556,0.81554,1.83422,0.84311,0.82758,0.90703,0.72671,1.55544,1.07164,1.74953,0.0002921,0.0002921,0.0002921
44,245.669,1.60798,0.84581,1.83581,0.85732,0.8199,0.9005,0.73757,1.49974,1.06625,1.75782,0.00028715,0.00028715,0.00028715
45,251.124,1.62438,0.85565,1.82458,0.83259,0.8499,0.90548,0.73283,1.50552,1.08989,1.75358,0.0002822,0.0002822,0.0002822
46,256.552,1.62795,0.84447,1.81125,0.85568,0.85575,0.92132,0.75987,1.43582,0.99768,1.72456,0.00027725,0.00027725,0.00027725
47,262.13,1.58755,0.8131,1.80537,0.84242,0.84211,0.9093,0.74409,1.45708,1.12683,1.71754,0.0002723,0.0002723,0.0002723
48,267.726,1.56966,0.77614,1.79903,0.82474,0.8577,0.91535,0.74694,1.47851,1.10643,1.724,0.00026735,0.00026735,0.00026735
49,273.296,1.6043,0.8088,1.80047,0.85631,0.8538,0.9204,0.75381,1.50913,1.10364,1.73587,0.0002624,0.0002624,0.0002624
50,278.784,1.55263,0.79812,1.80008,0.87532,0.83483,0.92278,0.75034,1.50786,1.06944,1.73661,0.00025745,0.00025745,0.00025745
51,284.316,1.56128,0.81581,1.80672,0.8631,0.83431,0.91374,0.74382,1.47922,1.10682,1.72624,0.0002525,0.0002525,0.0002525
52,289.867,1.52745,0.80531,1.78296,0.8754,0.84016,0.92104,0.75421,1.46326,1.07155,1.71198,0.00024755,0.00024755,0.00024755
53,295.443,1.52545,0.78937,1.80293,0.82902,0.88304,0.92642,0.7599,1.44516,1.047,1.71055,0.0002426,0.0002426,0.0002426
54,301.069,1.53839,0.78303,1.792,0.83358,0.87524,0.91953,0.75943,1.4288,1.03464,1.70837,0.00023765,0.00023765,0.00023765
55,306.521,1.5319,0.78361,1.78334,0.8623,0.83431,0.91002,0.72591,1.60088,1.10172,1.75122,0.0002327,0.0002327,0.0002327
56,312.102,1.52364,0.80528,1.78877,0.84211,0.86295,0.91179,0.76323,1.45034,1.10762,1.73576,0.00022775,0.00022775,0.00022775
57,317.642,1.46388,0.73248,1.78189,0.86341,0.83821,0.91377,0.75378,1.49671,1.11286,1.73951,0.0002228,0.0002228,0.0002228
58,323.101,1.52395,0.77376,1.78864,0.86464,0.84211,0.91342,0.74779,1.4546,1.07313,1.72685,0.00021785,0.00021785,0.00021785
59,328.575,1.50793,0.75932,1.78257,0.86954,0.83236,0.90444,0.74764,1.45265,1.16106,1.73649,0.0002129,0.0002129,0.0002129
60,334.076,1.49114,0.75561,1.79482,0.88688,0.82846,0.92081,0.75684,1.42513,1.01432,1.71333,0.00020795,0.00020795,0.00020795
61,339.579,1.49218,0.72628,1.78855,0.8744,0.84138,0.9208,0.75659,1.46113,1.07792,1.71636,0.000203,0.000203,0.000203
62,345.109,1.51597,0.75563,1.78507,0.84347,0.85083,0.90679,0.73951,1.57716,1.17762,1.76624,0.00019805,0.00019805,0.00019805
63,350.706,1.41612,0.69211,1.76493,0.88264,0.80635,0.9095,0.74588,1.49729,1.08133,1.75459,0.0001931,0.0001931,0.0001931
64,356.226,1.42528,0.6951,1.75091,0.89743,0.81871,0.91821,0.76042,1.41986,1.01742,1.7307,0.00018815,0.00018815,0.00018815
65,361.861,1.45287,0.71294,1.768,0.8517,0.85086,0.91464,0.75078,1.50889,1.03765,1.7432,0.0001832,0.0001832,0.0001832
66,367.59,1.44375,0.70668,1.76897,0.87218,0.81676,0.90991,0.74796,1.49508,1.07439,1.73988,0.00017825,0.00017825,0.00017825
67,373.217,1.44453,0.71899,1.76215,0.8094,0.85185,0.90153,0.73119,1.587,1.10615,1.77809,0.0001733,0.0001733,0.0001733
68,378.901,1.43336,0.70446,1.75698,0.87562,0.84016,0.91068,0.75211,1.47403,1.04414,1.74393,0.00016835,0.00016835,0.00016835
69,385.141,1.43946,0.68362,1.75461,0.85852,0.85164,0.9148,0.73939,1.52349,1.03505,1.73726,0.0001634,0.0001634,0.0001634
70,390.743,1.45177,0.68299,1.77077,0.83407,0.87329,0.91375,0.74731,1.48731,1.08333,1.72905,0.00015845,0.00015845,0.00015845
