epoch,train_loss,train_acc,val_loss,val_acc
1,0.057402,81.25,0.043043,89.75
2,0.006150,97.96,0.024221,94.70
3,0.005468,97.48,0.029735,91.17
4,0.004287,97.96,0.032524,90.81
5,0.009398,96.51,0.130781,89.40
6,0.012746,94.35,0.114586,87.63
7,0.012076,95.19,0.145463,84.81
8,0.011375,95.07,0.088390,88.34
9,0.015689,93.39,0.233565,80.21
10,0.012819,95.55,0.071193,96.82
11,0.032976,87.98,12.265815,60.07
12,0.027328,89.90,0.416417,87.63
13,0.017115,92.19,0.138058,85.51
14,0.024816,90.14,0.170568,81.63
15,0.016274,94.95,0.220949,85.87
16,0.027861,88.46,0.847525,64.31
17,0.016817,90.87,0.042612,89.05
18,0.011837,94.23,0.096131,80.57
19,0.018097,93.87,0.812678,86.93
20,0.023386,90.02,0.123217,86.57
21,0.020902,92.43,0.101726,84.45
22,0.014465,93.03,0.031075,95.41
23,0.009090,95.19,0.047603,92.58
24,0.009425,96.75,0.029348,93.64
25,0.004059,98.08,0.022823,91.52
26,0.005824,97.84,0.030768,92.23
27,0.006195,97.48,0.049966,93.64
28,0.007738,96.63,0.211243,69.61
29,0.016915,93.51,0.081818,71.02
30,0.006646,96.39,0.092496,89.05
31,0.006766,96.63,0.070617,95.41
32,0.008894,95.67,0.042171,96.11
33,0.003068,98.56,0.015953,97.17
34,0.005986,98.56,0.030508,91.17
35,0.005378,98.20,0.056412,97.53
36,0.002963,98.44,0.046479,97.17
37,0.007755,97.96,0.032879,95.05
38,0.001514,99.40,0.027521,97.17
39,0.001395,99.40,0.032653,97.17
40,0.001328,99.52,0.032187,94.35
41,0.000871,99.64,0.032971,95.76
42,0.001807,99.52,0.033776,97.17
43,0.001444,99.16,0.048467,96.47
44,0.001355,99.40,0.032759,94.70
45,0.000946,99.52,0.040920,95.41
46,0.000313,99.88,0.037433,97.17
