image_name,image_file,n_gt_boxes,n_pred_boxes,n_correct_matches,n_false_positives,n_false_negatives,avg_confidence,status,paper_score,recommendation,error_category,selector_type,top_n,dataset,model,total_errors,n_boxes,n_correct,n_incorrect,accuracy,conf_threshold
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171785.png,1.0,4.0,1.0,3.0,0.0,0.814,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171785.png,1.0,4.0,1.0,3.0,0.0,0.814,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA172004,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA172004.png,2.0,4.0,2.0,2.0,0.0,0.802,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA172004,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA172004.png,2.0,4.0,2.0,2.0,0.0,0.802,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA172021,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA172021.png,2.0,4.0,2.0,2.0,0.0,0.73,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171831.png,3.0,2.0,2.0,0.0,1.0,0.889,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171831.png,3.0,2.0,2.0,0.0,1.0,0.889,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171841,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171841.png,1.0,1.0,1.0,0.0,0.0,0.922,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171841,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171841.png,1.0,1.0,1.0,0.0,0.0,0.922,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171998,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171998.png,2.0,2.0,2.0,0.0,0.0,0.916,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171998,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171998.png,2.0,2.0,2.0,0.0,0.0,0.916,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171927,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo10\PA171927.png,1.0,1.0,1.0,0.0,0.0,0.914,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo10,,,,,,
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171785.png,1.0,4.0,1.0,3.0,0.0,0.867,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171785.png,1.0,4.0,1.0,3.0,0.0,0.867,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA172030,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172030.png,2.0,4.0,2.0,2.0,0.0,0.867,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA172030,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172030.png,2.0,4.0,2.0,2.0,0.0,0.867,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA172004,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172004.png,2.0,4.0,2.0,2.0,0.0,0.748,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171699,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171699.png,2.0,0.0,0.0,0.0,2.0,0.0,Missing detections (FN),4,Not recommended,False Negatives (FN),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171699,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171699.png,2.0,0.0,0.0,0.0,2.0,0.0,Missing detections (FN),4,Not recommended,False Negatives (FN),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171931,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171931.png,2.0,1.0,1.0,0.0,1.0,0.9,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171931,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171931.png,2.0,1.0,1.0,0.0,1.0,0.9,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171831.png,3.0,2.0,2.0,0.0,1.0,0.886,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171751,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171751.png,3.0,3.0,2.0,1.0,1.0,0.889,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo11,2.0,,,,,
PA171751,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171751.png,3.0,3.0,2.0,1.0,1.0,0.889,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo11,2.0,,,,,
PA171927,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171927.png,1.0,1.0,1.0,0.0,0.0,0.921,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171927,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171927.png,1.0,1.0,1.0,0.0,0.0,0.921,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171923,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171923.png,1.0,1.0,1.0,0.0,0.0,0.911,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171923,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171923.png,1.0,1.0,1.0,0.0,0.0,0.911,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171898,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171898.png,1.0,1.0,1.0,0.0,0.0,0.911,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo11,,,,,,
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171785.png,1.0,4.0,1.0,3.0,0.0,0.853,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171785.png,1.0,4.0,1.0,3.0,0.0,0.853,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171878,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171878.png,3.0,5.0,3.0,2.0,0.0,0.731,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171878,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171878.png,3.0,5.0,3.0,2.0,0.0,0.731,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA172030,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA172030.png,2.0,4.0,2.0,2.0,0.0,0.641,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171770,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171770.png,2.0,0.0,0.0,0.0,2.0,0.0,Missing detections (FN),4,Not recommended,False Negatives (FN),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171770,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171770.png,2.0,0.0,0.0,0.0,2.0,0.0,Missing detections (FN),4,Not recommended,False Negatives (FN),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171693,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171693.png,2.0,1.0,1.0,0.0,1.0,0.835,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171693,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171693.png,2.0,1.0,1.0,0.0,1.0,0.835,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171934,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171934.png,1.0,1.0,0.0,1.0,1.0,0.721,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo12,2.0,,,,,
PA171934,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171934.png,1.0,1.0,0.0,1.0,1.0,0.721,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo12,2.0,,,,,
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171831.png,3.0,3.0,2.0,1.0,1.0,0.671,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo12,2.0,,,,,
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171831.png,3.0,3.0,2.0,1.0,1.0,0.671,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo12,2.0,,,,,
PA171751,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171751.png,3.0,3.0,2.0,1.0,1.0,0.656,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,iml_lifecycle,yolo12,2.0,,,,,
PA171886,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171886.png,1.0,1.0,1.0,0.0,0.0,0.931,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171886,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171886.png,1.0,1.0,1.0,0.0,0.0,0.931,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171822,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171822.png,1.0,1.0,1.0,0.0,0.0,0.92,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171822,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171822.png,1.0,1.0,1.0,0.0,0.0,0.92,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo12,,,,,,
PA171923,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo12\PA171923.png,1.0,1.0,1.0,0.0,0.0,0.916,Perfect,10,Best for paper,Perfect Detection,detection_error,5,iml_lifecycle,yolo12,,,,,,
Trip 043 Day 2 24-10-05 Image 1_4,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 043 Day 2 24-10-05 Image 1_4.png,3.0,8.0,3.0,5.0,0.0,0.657,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 043 Day 2 24-10-05 Image 1_4,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 043 Day 2 24-10-05 Image 1_4.png,3.0,8.0,3.0,5.0,0.0,0.657,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 804 Day 1 02-12-05 Image 3_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 804 Day 1 02-12-05 Image 3_11.png,3.0,7.0,3.0,4.0,0.0,0.739,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 804 Day 1 02-12-05 Image 3_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 804 Day 1 02-12-05 Image 3_11.png,3.0,7.0,3.0,4.0,0.0,0.739,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo10,,,,,,
