epoch,train_loss,train_acc,val_loss,val_acc
1,1.030350,34.38,1.262338,25.49
2,0.449761,65.06,0.870332,59.80
3,0.279154,78.41,1.362998,63.73
4,0.417843,79.55,1.864674,69.61
5,0.314820,78.41,3.593845,55.88
6,0.411826,74.43,3.872822,50.00
7,0.424069,73.86,2.201914,43.14
8,0.528432,63.07,6.110660,12.75
9,0.400790,73.58,1.179154,46.08
10,0.363075,73.86,4.338519,33.33
11,0.249957,75.28,1.491260,61.76
12,0.225931,82.95,0.982995,77.45
13,0.212599,79.55,0.818678,78.43
14,0.164808,87.50,1.212591,53.92
15,0.149975,81.82,0.455886,88.24
16,0.110776,90.34,0.623991,81.37
17,0.113113,89.49,0.573249,85.29
18,0.124811,87.50,0.693800,88.24
19,0.115351,93.47,0.439965,92.16
20,0.071774,94.03,0.420903,90.20
21,0.058013,94.89,0.446461,88.24
22,0.058916,93.75,0.489432,88.24
23,0.068523,92.90,0.496266,86.27
24,0.045747,94.32,0.487245,87.25
25,0.074212,92.33,0.513484,85.29
