epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2896,1.82208,3.53739,2.66063,0.00454,1,0.17632,0.10537,1.22195,4.20529,2.53299,8e-05,8e-05,8e-05
2,52.3864,0.78569,3.05691,1.55352,0.00438,1,0.18292,0.13086,0.64442,3.98737,1.14114,0.00016439,0.00016439,0.00016439
3,77.5483,0.41364,2.6163,1.22833,0.00526,1,0.29994,0.22764,0.75624,3.9733,1.28934,0.00024284,0.00024284,0.00024284
4,102.213,0.31484,2.16577,1.08802,0.00739,1,0.42758,0.41271,0.37271,3.60891,0.67179,0.00031535,0.00031535,0.00031535
5,126.608,0.26914,1.91074,1.01874,0.70063,0.20334,0.63908,0.42897,0.86779,3.42075,1.14748,0.00038192,0.00038192,0.00038192
6,151.202,0.28729,1.63238,1.04891,0.63993,0.16963,0.51033,0.35232,0.86584,3.40595,0.96056,0.00044255,0.00044255,0.00044255
7,176.373,0.28777,1.43349,1.01409,0.59392,0.55513,0.60228,0.56419,0.36537,2.69367,0.66878,0.00049724,0.00049724,0.00049724
8,201.373,0.25359,1.27385,0.98306,0.73862,0.61103,0.76691,0.71373,0.35198,2.15226,0.60008,0.00054599,0.00054599,0.00054599
9,226.149,0.23466,1.16082,0.97808,0.80327,0.78365,0.89544,0.77646,0.57549,2.25804,0.949,0.0005888,0.0005888,0.0005888
10,250.706,0.24004,1.12675,0.96835,0.94933,0.82013,0.88806,0.79197,0.43391,1.87433,0.67885,0.00062567,0.00062567,0.00062567
11,275.62,0.22112,1.02931,0.96895,0.85868,0.78567,0.84983,0.78068,0.44081,2.07514,0.77328,0.0006566,0.0006566,0.0006566
12,300.569,0.19758,1.01595,0.95715,0.93239,0.84876,0.90333,0.8394,0.36645,2.64211,0.54575,0.000637,0.000637,0.000637
13,325.202,0.19407,0.96121,0.94805,0.95629,0.91982,0.95429,0.87975,0.44149,1.62386,0.7027,0.000604,0.000604,0.000604
14,349.838,0.20066,0.96454,0.96356,0.89618,0.9375,0.94778,0.87978,0.42839,1.53973,0.66438,0.000571,0.000571,0.000571
15,374.904,0.17934,0.91429,0.96024,0.8532,0.9375,0.96375,0.94343,0.38285,1.50101,0.57846,0.000538,0.000538,0.000538
16,404.496,0.19036,0.83266,0.94913,0.94797,0.8875,0.94431,0.89817,0.33939,1.68552,0.53492,0.000505,0.000505,0.000505
17,429.687,0.18098,0.82014,0.93923,0.92112,0.81913,0.96172,0.93834,0.33076,1.46946,0.52939,0.000472,0.000472,0.000472
18,454.374,0.16195,0.82859,0.91762,0.89305,0.86042,0.95969,0.88731,0.48079,1.51517,0.70989,0.000439,0.000439,0.000439
19,479.581,0.1707,0.78682,0.93841,0.90208,0.95209,0.995,0.90169,0.43085,1.56413,0.62886,0.000406,0.000406,0.000406
20,513.03,0.15031,0.77099,0.95507,0.91947,0.97589,0.995,0.995,0.26733,1.12413,0.38623,0.000373,0.000373,0.000373
21,540.534,0.14939,1.5741,0.9452,0.97397,0.95998,0.995,0.995,0.2671,1.75186,0.37693,0.00034,0.00034,0.00034
22,564.964,0.13957,1.57013,0.97882,0.97817,1,0.995,0.98626,0.30332,1.29004,0.4192,0.000307,0.000307,0.000307
23,589.314,0.13593,1.3724,0.9705,0.98504,1,0.995,0.995,0.24544,1.14151,0.3488,0.000274,0.000274,0.000274
24,613.593,0.10793,1.10985,0.95503,0.95077,0.97698,0.995,0.995,0.27142,1.12867,0.37246,0.000241,0.000241,0.000241
25,637.782,0.11253,1.17375,0.94642,0.92529,0.98172,0.995,0.995,0.25805,1.27663,0.36229,0.000208,0.000208,0.000208
26,663.275,0.10801,1.18748,0.9438,0.96567,0.96618,0.995,0.995,0.22699,1.27868,0.32943,0.000175,0.000175,0.000175
27,689.617,0.09044,1.0334,0.92804,0.96157,0.96913,0.995,0.995,0.20274,1.27871,0.2995,0.000142,0.000142,0.000142
28,718.462,0.08567,1.04366,0.94213,0.98456,1,0.995,0.995,0.17429,1.14225,0.2675,0.000109,0.000109,0.000109
29,746.623,0.07733,0.98569,0.93941,0.98844,1,0.995,0.995,0.18871,1.14523,0.29423,7.6e-05,7.6e-05,7.6e-05
30,777.051,0.07627,1.06351,0.93199,0.98958,1,0.995,0.995,0.19278,1.15507,0.30553,4.3e-05,4.3e-05,4.3e-05
