epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.67951,1.29848,0.46429,1,1.23925,0.0002125,0.0002125,0.0002125
2,3.25837,1.10274,0.53571,1,1.00886,0.000423062,0.000423062,0.000423062
3,4.78866,0.9954,0.64286,1,0.85571,0.000618775,0.000618775,0.000618775
4,6.34486,0.9061,0.82143,1,0.7104,0.000799638,0.000799638,0.000799638
5,7.87232,0.74729,0.89286,1,0.59515,0.00096565,0.00096565,0.00096565
6,9.40599,0.65764,0.82143,1,0.46214,0.00104375,0.00104375,0.00104375
7,10.9161,0.59861,0.89286,1,0.32981,0.0010025,0.0010025,0.0010025
8,12.5555,0.60425,0.92857,1,0.29091,0.00096125,0.00096125,0.00096125
9,14.117,0.52972,0.89286,1,0.26602,0.00092,0.00092,0.00092
10,15.6344,0.49957,0.96429,1,0.2914,0.00087875,0.00087875,0.00087875
11,17.2404,0.48809,0.89286,1,0.27207,0.0008375,0.0008375,0.0008375
12,18.8096,0.3821,0.89286,1,0.27872,0.00079625,0.00079625,0.00079625
13,20.2825,0.41754,0.96429,1,0.2134,0.000755,0.000755,0.000755
14,21.8292,0.43689,0.96429,1,0.17257,0.00071375,0.00071375,0.00071375
15,23.4373,0.29111,0.96429,1,0.14793,0.0006725,0.0006725,0.0006725
16,25.0021,0.40009,0.96429,1,0.17151,0.00063125,0.00063125,0.00063125
17,26.4271,0.32681,0.96429,1,0.12723,0.00059,0.00059,0.00059
18,27.932,0.38475,0.92857,1,0.1699,0.00054875,0.00054875,0.00054875
19,29.4076,0.29773,0.92857,1,0.17695,0.0005075,0.0005075,0.0005075
20,30.9212,0.41084,0.89286,1,0.23834,0.00046625,0.00046625,0.00046625
