epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.543,1.05237,3.16181,1.88437,0.00527,1,0.11011,0.02962,1.4897,4.11056,2.07279,0.0002125,0.0002125,0.0002125
2,68.0502,0.38454,2.63347,1.15963,0.01339,1,0.41419,0.29589,0.5723,4.0022,0.96471,0.000423062,0.000423062,0.000423062
3,99.9093,0.36679,2.24507,1.08381,0.00993,1,0.63423,0.37943,0.64423,3.72233,0.93553,0.000618775,0.000618775,0.000618775
4,131.907,0.43648,1.9835,1.10764,0.94518,0.125,0.75039,0.60999,0.47182,3.45734,0.72596,0.000799638,0.000799638,0.000799638
5,163.712,0.43679,1.75457,1.1023,0.54646,0.89625,0.97696,0.50772,1.45922,3.02284,1.86377,0.00096565,0.00096565,0.00096565
6,197.275,0.51612,1.54165,1.17939,0.73144,0.86194,0.9825,0.90142,0.43769,2.55028,0.76409,0.00104375,0.00104375,0.00104375
7,229.994,0.43545,1.45807,1.08323,0.94222,0.87286,0.95036,0.78961,0.47603,2.24141,0.71636,0.0010025,0.0010025,0.0010025
8,262.033,0.34623,1.30154,1.0392,0.7945,0.94531,0.95339,0.88687,0.47715,2.20873,0.75885,0.00096125,0.00096125,0.00096125
9,293.996,0.30859,1.1853,1.01751,0.91918,0.92394,0.9825,0.87553,0.47008,2.06459,0.76687,0.00092,0.00092,0.00092
10,325.993,0.2884,1.1744,1.01599,0.9426,0.95218,0.995,0.91221,0.46008,1.47092,0.84927,0.00087875,0.00087875,0.00087875
11,357.401,0.27596,1.06071,0.99735,0.8086,0.87227,0.92719,0.84124,0.39564,1.73765,0.63375,0.0008375,0.0008375,0.0008375
12,388.399,0.24776,1.07455,0.99095,0.67327,0.83614,0.83739,0.83068,0.29925,2.1781,0.47736,0.00079625,0.00079625,0.00079625
13,420.288,0.25129,0.97805,0.98262,0.86724,1,0.97833,0.82176,0.65819,1.58465,0.82788,0.000755,0.000755,0.000755
14,453.701,0.25564,0.96793,0.99176,0.90718,1,0.995,0.90038,0.39729,1.38271,0.62798,0.00071375,0.00071375,0.00071375
15,485.724,0.24871,0.90629,0.9817,0.87583,0.90277,0.94089,0.9062,0.40272,1.61431,0.6017,0.0006725,0.0006725,0.0006725
16,517.238,0.23977,0.8935,0.96244,0.93098,0.88174,0.94777,0.92966,0.3432,1.29671,0.53771,0.00063125,0.00063125,0.00063125
17,548.664,0.2516,0.86447,0.96961,0.95726,0.96851,0.995,0.98176,0.31313,1.22348,0.47897,0.00059,0.00059,0.00059
18,580.277,0.22016,0.76209,0.95232,0.91756,0.98642,0.99324,0.98233,0.31714,1.14502,0.48521,0.00054875,0.00054875,0.00054875
19,611.538,0.2023,0.78459,0.95375,0.8564,0.97282,0.99406,0.9655,0.34245,1.185,0.56373,0.0005075,0.0005075,0.0005075
20,642.761,0.20018,0.80846,0.97842,0.95041,0.94206,0.995,0.995,0.24679,1.08932,0.44382,0.00046625,0.00046625,0.00046625
21,675.182,0.16847,1.62577,1.00573,0.96171,0.98896,0.995,0.97978,0.31783,1.48925,0.54437,0.000425,0.000425,0.000425
22,707.123,0.16117,1.49352,0.97962,0.96367,0.95311,0.99188,0.99188,0.22755,1.22298,0.38632,0.00038375,0.00038375,0.00038375
23,738.31,0.13484,1.22591,0.9728,0.95589,0.99322,0.995,0.995,0.18529,1.16823,0.29809,0.0003425,0.0003425,0.0003425
24,769.386,0.13048,1.13816,0.9706,0.9647,1,0.995,0.995,0.18299,1.04669,0.28797,0.00030125,0.00030125,0.00030125
25,800.02,0.12353,1.07963,0.94546,0.9892,1,0.995,0.995,0.17822,0.97483,0.29148,0.00026,0.00026,0.00026
26,831.16,0.10049,1.04364,0.94166,0.99064,0.99856,0.995,0.995,0.19827,0.98701,0.31967,0.00021875,0.00021875,0.00021875
27,862.051,0.10774,0.99706,0.93856,0.98938,1,0.995,0.995,0.19619,0.98926,0.32638,0.0001775,0.0001775,0.0001775
28,895.059,0.08643,0.87677,0.9453,0.98948,1,0.995,0.995,0.20111,0.97696,0.33642,0.00013625,0.00013625,0.00013625
29,926.422,0.08715,0.94837,0.96025,0.99058,1,0.995,0.995,0.21263,0.96439,0.3487,9.5e-05,9.5e-05,9.5e-05
30,957.663,0.08726,0.87936,0.9631,0.98934,1,0.995,0.995,0.20385,0.95691,0.34452,5.375e-05,5.375e-05,5.375e-05
