image_name,image_file,n_gt_boxes,n_pred_boxes,n_correct_matches,n_false_positives,n_false_negatives,avg_confidence,status,paper_score,recommendation,dataset
PA171739,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171739.png,1,1,1,0,0,0.874,Perfect,10,Best for paper,iml_lifecycle
PA171739,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171739.png,1,1,1,0,0,0.874,Perfect,10,Best for paper,iml_lifecycle
PA171752,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171752.png,2,2,2,0,0,0.9,Perfect,10,Best for paper,iml_lifecycle
PA171752,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171752.png,2,2,2,0,0,0.9,Perfect,10,Best for paper,iml_lifecycle
PA171756,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171756.png,2,2,2,0,0,0.88,Perfect,10,Best for paper,iml_lifecycle
PA171756,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171756.png,2,2,2,0,0,0.88,Perfect,10,Best for paper,iml_lifecycle
PA171770,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171770.png,2,2,2,0,0,0.809,Perfect,10,Best for paper,iml_lifecycle
PA171770,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171770.png,2,2,2,0,0,0.809,Perfect,10,Best for paper,iml_lifecycle
PA171777,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171777.png,1,1,1,0,0,0.896,Perfect,10,Best for paper,iml_lifecycle
PA171777,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171777.png,1,1,1,0,0,0.896,Perfect,10,Best for paper,iml_lifecycle
PA171801,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171801.png,3,3,3,0,0,0.855,Perfect,10,Best for paper,iml_lifecycle
PA171801,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171801.png,3,3,3,0,0,0.855,Perfect,10,Best for paper,iml_lifecycle
PA171851,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171851.png,1,1,1,0,0,0.815,Perfect,10,Best for paper,iml_lifecycle
PA171851,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171851.png,1,1,1,0,0,0.815,Perfect,10,Best for paper,iml_lifecycle
PA171841,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171841.png,1,1,1,0,0,0.883,Perfect,10,Best for paper,iml_lifecycle
PA171841,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171841.png,1,1,1,0,0,0.883,Perfect,10,Best for paper,iml_lifecycle
PA171836,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171836.png,1,1,1,0,0,0.908,Perfect,10,Best for paper,iml_lifecycle
PA171836,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171836.png,1,1,1,0,0,0.908,Perfect,10,Best for paper,iml_lifecycle
PA171852,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171852.png,3,3,3,0,0,0.852,Perfect,10,Best for paper,iml_lifecycle
PA171852,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171852.png,3,3,3,0,0,0.852,Perfect,10,Best for paper,iml_lifecycle
PA171822,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171822.png,1,1,1,0,0,0.885,Perfect,10,Best for paper,iml_lifecycle
PA171822,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171822.png,1,1,1,0,0,0.885,Perfect,10,Best for paper,iml_lifecycle
PA171810,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171810.png,1,1,1,0,0,0.815,Perfect,10,Best for paper,iml_lifecycle
PA171810,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171810.png,1,1,1,0,0,0.815,Perfect,10,Best for paper,iml_lifecycle
PA171802,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171802.png,3,3,3,0,0,0.878,Perfect,10,Best for paper,iml_lifecycle
PA171802,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171802.png,3,3,3,0,0,0.878,Perfect,10,Best for paper,iml_lifecycle
PA171786,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171786.png,1,1,1,0,0,0.894,Perfect,10,Best for paper,iml_lifecycle
PA171786,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171786.png,1,1,1,0,0,0.894,Perfect,10,Best for paper,iml_lifecycle
PA172034,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172034.png,2,2,2,0,0,0.901,Perfect,10,Best for paper,iml_lifecycle
PA172034,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172034.png,2,2,2,0,0,0.901,Perfect,10,Best for paper,iml_lifecycle
PA171942,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171942.png,1,1,1,0,0,0.908,Perfect,10,Best for paper,iml_lifecycle
PA171942,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171942.png,1,1,1,0,0,0.908,Perfect,10,Best for paper,iml_lifecycle
PA171949,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171949.png,1,1,1,0,0,0.885,Perfect,10,Best for paper,iml_lifecycle
PA171949,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171949.png,1,1,1,0,0,0.885,Perfect,10,Best for paper,iml_lifecycle
PA171959,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171959.png,5,5,5,0,0,0.89,Perfect,10,Best for paper,iml_lifecycle
PA171959,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171959.png,5,5,5,0,0,0.89,Perfect,10,Best for paper,iml_lifecycle
PA171964,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171964.png,2,2,2,0,0,0.87,Perfect,10,Best for paper,iml_lifecycle
PA171964,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171964.png,2,2,2,0,0,0.87,Perfect,10,Best for paper,iml_lifecycle
PA171998,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171998.png,2,2,2,0,0,0.91,Perfect,10,Best for paper,iml_lifecycle
PA171998,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171998.png,2,2,2,0,0,0.91,Perfect,10,Best for paper,iml_lifecycle
PA171919,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171919.png,2,2,2,0,0,0.89,Perfect,10,Best for paper,iml_lifecycle
PA171919,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171919.png,2,2,2,0,0,0.89,Perfect,10,Best for paper,iml_lifecycle
PA171923,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171923.png,1,1,1,0,0,0.911,Perfect,10,Best for paper,iml_lifecycle
PA171923,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171923.png,1,1,1,0,0,0.911,Perfect,10,Best for paper,iml_lifecycle
PA171927,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171927.png,1,1,1,0,0,0.921,Perfect,10,Best for paper,iml_lifecycle
PA171927,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171927.png,1,1,1,0,0,0.921,Perfect,10,Best for paper,iml_lifecycle
PA171909,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171909.png,2,2,2,0,0,0.894,Perfect,10,Best for paper,iml_lifecycle
PA171909,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171909.png,2,2,2,0,0,0.894,Perfect,10,Best for paper,iml_lifecycle
PA171912,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171912.png,3,3,3,0,0,0.88,Perfect,10,Best for paper,iml_lifecycle
PA171912,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171912.png,3,3,3,0,0,0.88,Perfect,10,Best for paper,iml_lifecycle
PA171900,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171900.png,1,1,1,0,0,0.881,Perfect,10,Best for paper,iml_lifecycle
PA171900,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171900.png,1,1,1,0,0,0.881,Perfect,10,Best for paper,iml_lifecycle
PA171902,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171902.png,1,1,1,0,0,0.904,Perfect,10,Best for paper,iml_lifecycle
