image_name,image_file,n_boxes,n_correct,n_incorrect,accuracy,avg_confidence,status,paper_score,recommendation,error_category,selector_type,top_n,conf_threshold,dataset,model
PA171742,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171742.png,3,0,3,0.0,0.722,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171742,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171742.png,3,0,3,0.0,0.722,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171990,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171990.png,3,0,3,0.0,0.491,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171990,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171990.png,3,0,3,0.0,0.491,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171770,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171770.png,2,0,2,0.0,0.749,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171770,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171770.png,2,0,2,0.0,0.749,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171909,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171909.png,2,0,2,0.0,0.734,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171909,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171909.png,2,0,2,0.0,0.734,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171995,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171995.png,2,0,2,0.0,0.615,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
PA171995,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_classification_densenet121_focal\PA171995.png,2,0,2,0.0,0.615,All wrong,3,Not recommended,All Wrong,classification_error,20,0.75,iml_lifecycle,densenet121_focal
